query,clean_query,corrected_query
vkc ladies,vkc ladies,vic ladies
trufit,trufit,trust
readymade garment,readymade garment,readymade garment
blue Mumbai,blue mumbai,blue mumbai
columbus,columbus,columbus
half jacket,half jacket,half jacket
chapal seet,chapal seet,chapel see
dilhe bazar,dilhe bazar,die bazar
dilhe bazar,dilhe bazar,die bazar
conform hawaii,conform hawaii,conform hawaii
abs,abs,abs
flite cover,flite cover,flite cover
kemio,kemio,memo
asain,asain,again
ashoka,ashoka,asoka
campus lebel,campus lebel,campus level
campus level,campus level,campus level
campus women,campus women,campus women
campus kids,campus kids,campus kids
campus boys,campus boys,campus boys
Campus11761,campus11761,campus11761
bride,bride,bride
abros,abros,bros
teuz,teuz,teut
kickonm,kickonm,kicking
hdsk,hdsk,husk
Sitara show,sitara show,sitar show
16 nirjuta fita ola fita Sara,16 nirjuta fita ola fita sara,16 nirjuta fit ola fit sara
Jain sir lecture company,jain sir lecture company,jain sir lecture company
Bina lecture Ashu,bina lecture ashu,bin lecture ash
Bina let's show MPO company,bina lets show mpo company,bin lets show mo company
hyfex,hyfex,hex
Women fancy,women fancy,women fancy
antri re,antri re,anti re
Rich lt,rich lt,rich lt
campus,campus,campus
hamlin,hamlin,hamlin
campus,campus,campus
Aazad,aazad,ahead
Kum Kum,kum kum,mum mum
leharhawai,leharhawai,leharhawai
roshan,roshan,orphan
abros,abros,bros
ladies hawai,ladies hawai,ladies hawaii
ABROS,abros,bros
ballies 217,ballies 217,allies 217
Bruton,bruton,burton
AJ10,aj10,ajar
AJ1,aj1,a
vajeer,vajeer,career
vajjer,vajjer,vader
campus ladies,campus ladies,campus ladies
metro,metro,metro
coros,coros,corps
hrx,hrx,hex
champs,champs,champs
colombus,colombus,columbus
ashoka,ashoka,asoka
sega,sega,sega
mens gumboot,mens gumboot,men gumboot
gumboot,gumboot,gumboot
super soft t shirt,super soft t shirt,super soft t shirt
campus capsule,campus capsule,campus capsule
campus capsule na,campus capsule na,campus capsule na
7citi,7citi,city
ladis corks,ladis corks,ladies corks
Bally,bally,bally
Pamshoes,pamshoes,gumshoes
libro,libro,libero
Campus,campus,campus
casual pamsho,casual pamsho,casual pasha
abbrose,abbrose,ambrose
flight from,flight from,flight from
asian captan 12,asian captan 12,asian captain 12
blade-13,blade13,blade
footdose,footdose,footnote
